ID,선수명,데뷔년도,팀명,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),포지션(수비),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,1차FA여부,2차FA여부,3차FA여부
98742,신경현,1998,한화,2004,0.274,97,300,274,27,75,11,2,5,105,27,2,1,22,0,1,58,3,0.383,0.329,0.712,16,0.247,0.375,18,74,68,0,3.86,0.109,33.7,0.244,97,7,3,4,42.9,0,0,포수,93,70,621.0,5,0,398,40,8,5,59,22,0.9874074074074072,27.156199677938808,1.751,0.0,0.0583941606,0.0583941606,0,300,0.017262451344431,1975,11,28,30,6047.498852684717,0.0,0.0,0.0
98742,신경현,1998,한화,2005,0.277,110,358,321,38,89,15,1,4,118,23,3,3,29,0,2,47,8,0.368,0.338,0.706,23,0.203,1.0,20,95,93,0,3.76,0.09,39.1,0.244,110,5,2,3,40.0,0,0,포수,110,97,810.6666666666666,5,1,525,61,7,3,100,36,0.992,26.5,2.172,0.0,0.158590308,0.216984469,0,658,0.0,1975,11,28,31,11829.879554125831,0.0,0.0,0.0
98742,신경현,1998,한화,2006,0.243,100,307,272,26,66,11,0,2,83,15,8,1,25,1,1,40,10,0.305,0.308,0.613,17,0.186,1.0,13,86,81,0,3.52,0.063,24.6,0.215,100,5,4,1,80.0,0,0,포수,99,89,734.6666666666666,4,3,510,67,3,4,88,33,0.993,27.3,1.26,0.0,0.0240793201,0.241063789,0,965,0.0,1975,11,28,32,16665.166899738557,0.0,0.0,0.0
98742,신경현,1998,한화,2007,0.25,107,287,260,33,65,9,0,2,80,15,8,1,16,0,2,39,7,0.308,0.297,0.605,15,0.167,0.0,11,88,69,0,3.36,0.058,23.4,0.211,107,4,4,0,100.0,0,0,포수,107,80,695.0,2,4,488,70,6,0,72,43,0.996,37.4,0.945,0.0,0.0351758794,0.276239668,0,1252,0.0,1975,11,28,33,15308.61185655038,0.0,0.0,0.0
98742,신경현,1998,한화,2008,0.267,107,331,296,27,79,16,3,3,110,41,5,2,26,0,2,54,8,0.372,0.328,0.7,18,0.289,0.0,22,86,79,0,3.85,0.105,34.8,0.241,107,7,4,3,57.1,0,0,포수,106,90,745.6666666666666,5,1,508,48,11,6,110,31,0.991,22.0,2.009,0.0,0.0366886171,0.312928285,0,1583,0.0,1975,11,28,34,16089.743589743592,0.0,0.0,0.0
98742,신경현,1998,한화,2009,0.256,78,207,176,19,45,4,0,2,55,15,2,1,25,0,3,33,7,0.313,0.356,0.669,9,0.24,0.0,6,68,31,0,3.93,0.057,19.6,0.238,78,3,0,3,0.0,0,0,포수,78,60,497.0,7,2,393,42,5,4,68,26,0.984,27.7,0.709,0.0,0.0139037433,0.326832028,0,1790,0.0,1975,11,28,35,13314.845526133706,0.0,0.0,0.0
98742,신경현,1998,한화,2010,0.249,119,292,253,29,63,13,0,10,106,40,9,3,27,1,0,54,10,0.419,0.318,0.737,10,0.244,0.083,23,89,50,0,3.94,0.17,32.6,0.248,119,11,6,5,54.5,0,0,포수,116,79,668.3333333333334,4,1,518,63,3,5,77,31,0.993,28.7,1.406,0.0,0.011700468,0.338532497,0,2082,0.0,1975,11,28,36,15581.996896016555,0.0,0.0,0.0
98742,신경현,1998,한화,2011,0.266,103,267,233,18,62,9,0,1,74,27,7,2,23,0,2,50,7,0.318,0.335,0.653,13,0.269,0.2,10,73,50,0,3.84,0.052,24.7,0.23,103,9,5,4,55.6,0,0,포수,100,79,636.0,3,1,544,38,3,2,69,18,0.995,20.7,1.128,0.0,0.0377804014,0.376312898,0,2349,0.0,1975,11,28,37,38121.06747667607,0.0,0.0,0.0
88510,김응국,1988,롯데,2002,0.284,116,412,373,35,106,15,3,3,136,49,2,1,34,2,2,58,8,0.365,0.346,0.711,24,0.291,0.3,21,123,87,0,3.81,0.08,46.4,0.247,116,17,12,5,70.6,0,0,좌익수,42,37,309.6666666666667,0,0,136,10,7,0,0,0,1.0,0.0,1.386,0.0,0.0283018868,0.0283018868,0,412,0.839460703284222,1966,1,14,37,17165.886423773663,0.0,0.0,0.0
96704,조효상,1996,한화,2002,0.238,24,21,21,2,5,3,1,0,10,2,0,0,0,0,0,6,1,0.476,0.238,0.714,2,0.2,0.0,4,8,2,0,3.9,0.238,1.8,0.226,24,0,0,0,0.0,0,0,중견수,22,6,65.33333333333334,0,0,18,1,0,0,0,0,1.0,0.0,0.057,0.0,0.0,0.0,0,21,0.0,1974,1,26,29,3290.128231223285,0.0,0.0,0.0
96704,조효상,1996,롯데,2003,0.178,36,80,73,11,13,9,0,1,25,8,1,0,4,0,2,23,0,0.342,0.241,0.583,4,0.286,0.111,10,17,20,0,3.73,0.164,6.0,0.194,36,3,2,1,66.7,0,0,중견수,37,20,163.33333333333334,2,0,42,2,0,0,0,0,0.944273469387755,0.0,-0.221,0.0,0.0,0.0,0,101,0.0,1974,1,26,30,3176.0914842614065,0.0,0.0,0.0
96704,조효상,1996,롯데,2004,0.0,10,8,7,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0.0,0.125,0.125,0,0.0,0.0,0,4,1,0,3.38,0.0,-0.3,0.056,10,0,0,0,0.0,0,0,중견수,11,1,25.0,0,0,5,0,0,0,0,0,1.0,0.0,-0.125,0.0,0.0145985401,0.0145985401,0,109,0.0,1974,1,26,31,2956.554994645862,0.0,0.0,0.0
72131,김용우,1998,LG,2002,0.143,9,8,7,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0.143,0.25,0.393,0,0.0,0.167,0,2,1,0,5.0,0.0,0.3,0.148,9,0,0,0,0.0,0,0,2루수,4,0,5.0,1,0,3,1,0,0,0,0,0.4,0.0,-0.047,0.0,0.0,0.0,0,8,1.521928094887362,1979,9,12,24,3147.079177691838,0.0,0.0,0.0
